,Name,Platform,Year_of_Release,Genre,NA_Sales,Global_Sales
5937,Imagine: Makeup Artist,DS,2020,Simulation,0.27,0.29
14087,Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,0,0.04
16223,Phantasy Star Online 2 Episode 4: Deluxe Package,PSV,2017,Role-Playing,0,0.01
16386,Brothers Conflict: Precious Baby,PSV,2017,Action,0,0.01
95,FIFA 17,PS4,2016,Sports,0.66,7.59
109,Pokemon Sun/Moon,3DS,2016,Role-Playing,2.98,7.14
172,Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85,5.38
246,Call of Duty: Infinite Warfare,PS4,2016,Shooter,1.61,4.46
290,Battlefield 1,PS4,2016,Shooter,1.1,4.08
326,Tom Clancy's The Division,PS4,2016,Shooter,1.35,3.8
572,FIFA 17,XOne,2016,Sports,0.43,2.65
641,Call of Duty: Infinite Warfare,XOne,2016,Shooter,1.46,2.42
709,Far Cry: Primal,PS4,2016,Action,0.6,2.26
710,Battlefield 1,XOne,2016,Shooter,1.28,2.25
759,Tom Clancy's The Division,XOne,2016,Shooter,1.29,2.16
768,Overwatch,PS4,2016,Shooter,0.81,2.14
922,NBA 2K17,PS4,2016,Sports,1.25,1.88
969,Mafia III,PS4,2016,Action,0.42,1.81
1008,Madden NFL 17,PS4,2016,Sports,1.25,1.75
1057,No Man's Sky,PS4,2016,Action,0.63,1.7
1108,Dark Souls III,PS4,2016,Role-Playing,0.65,1.65
1217,Ratchet & Clank (2016),PS4,2016,Platform,0.5,1.54
1276,Doom (2016),PS4,2016,Shooter,0.54,1.49
1440,Gears of War 4,XOne,2016,Shooter,0.78,1.35
1467,Yokai Watch 3,3DS,2016,Action,0,1.33
1476,The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,0.48,1.33
1616,Madden NFL 17,XOne,2016,Sports,1.08,1.23
1802,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,0.41,1.14
1807,Watch Dogs 2,PS4,2016,Action,0.37,1.13
1905,Forza Horizon 3,XOne,2016,Racing,0.42,1.08
1949,Overwatch,XOne,2016,Shooter,0.63,1.06
2013,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,0.56,1.03
2025,NBA 2K17,XOne,2016,Sports,0.86,1.02
2057,Pokken Tournament,WiiU,2016,Fighting,0.5,1.01
2205,Rise of the Tomb Raider,PS4,2016,Adventure,0.23,0.94
2211,EA Sports UFC 2,PS4,2016,Sports,0.29,0.93
2220,Kirby: Planet Robobot,3DS,2016,Action,0.28,0.93
2291,Street Fighter V,PS4,2016,Fighting,0.4,0.9
2333,MLB 16: The Show,PS4,2016,Action,0.72,0.89
2368,Far Cry: Primal,XOne,2016,Action,0.47,0.88
2695,Doom (2016),XOne,2016,Shooter,0.44,0.76
2719,Titanfall 2,PS4,2016,Shooter,0.34,0.75
2769,The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing,0.41,0.74
2783,FIFA 17,PS3,2016,Sports,0.05,0.73
2812,LEGO Marvel's Avengers,PS4,2016,Action,0.26,0.73
2890,Dragon Ball: Xenoverse 2,PS4,2016,Action,0.24,0.71
2918,Lego Star Wars: The Force Awakens,PS4,2016,Action,0.16,0.7
2974,Minecraft,WiiU,2016,Misc,0.28,0.68
3124,Farming Simulator 17,PC,2016,Simulation,0.03,0.65
3158,Dishonored 2,PS4,2016,Action,0.22,0.64
3178,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,0,0.63
3251,Mafia III,XOne,2016,Action,0.28,0.62
3366,WWE 2K17,PS4,2016,Sports,0.17,0.6
3509,Titanfall 2,XOne,2016,Shooter,0.37,0.57
3594,Yokai Sangokushi,3DS,2016,Action,0,0.56
3607,Quantum Break,XOne,2016,Action,0.3,0.56
3772,Overwatch,PC,2016,Shooter,0.25,0.53
3789,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,0.05,0.53
4034,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,0.2,0.49
4096,Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,0.29,0.48
4359,Pro Evolution Soccer 2017,PS4,2016,Sports,0.02,0.45
4489,Hyrule Warriors,3DS,2016,Action,0.17,0.43
4637,Paper Mario: Color Splash,WiiU,2016,Role-Playing,0.2,0.42
4669,EA Sports UFC 2,XOne,2016,Sports,0.24,0.41
4677,Farming Simulator 17,PS4,2016,Simulation,0.05,0.41
4694,Tom Clancy's The Division,PC,2016,Shooter,0.22,0.41
4769,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,0.04,0.4
4787,Life is Strange,PS4,2016,Adventure,0.15,0.4
4888,Dark Souls III,XOne,2016,Role-Playing,0.26,0.39
4914,Until Dawn: Rush of Blood,PS4,2016,Adventure,0.18,0.39
4944,F1 2016 (Codemasters),PS4,2016,Racing,0.03,0.39
5001,Battlefield 1,PC,2016,Shooter,0.11,0.38
5009,Deus Ex: Mankind Divided,PS4,2016,Role-Playing,0.11,0.38
5011,FIFA 17,X360,2016,Sports,0.07,0.38
5067,Resident Evil Zero,PS4,2016,Action,0.1,0.37
5075,Persona 5,PS4,2016,Role-Playing,0,0.37
5115,BioShock The Collection,PS4,2016,Shooter,0.1,0.37
5121,Rocket League,PS4,2016,Sports,0.03,0.37
5132,DiRT Rally,PS4,2016,Racing,0.04,0.37
5175,Star Fox: Zero,WiiU,2016,Shooter,0.17,0.36
5231,Watch Dogs 2,XOne,2016,Action,0.17,0.36
5286,Homefront: The Revolution,PS4,2016,Shooter,0.06,0.35
5288,One Piece: Burning Blood,PS4,2016,Fighting,0.11,0.35
5318,LEGO Marvel's Avengers,XOne,2016,Action,0.19,0.35
5321,Mirror's Edge Catalyst,PS4,2016,Platform,0.11,0.35
5339,TrackMania Turbo,PS4,2016,Action,0.03,0.35
5377,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,0.07,0.34
5440,World of Final Fantasy,PS4,2016,Role-Playing,0.08,0.33
5445,NHL 17,PS4,2016,Sports,0.19,0.33
5449,Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,0.07,0.33
5610,World of Warcraft: Legion,PC,2016,Role-Playing,0.13,0.32
5690,LEGO Marvel's Avengers,X360,2016,Action,0.18,0.32
5841,Mario Party: Star Rush,3DS,2016,Misc,0.08,0.3
5850,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,0.21,0.3
5855,Batman: Arkham VR,PS4,2016,Action,0.25,0.3
5899,Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,0,0.3
5927,Lego Star Wars: The Force Awakens,XOne,2016,Action,0.14,0.3
5991,UEFA Euro 2016,PS4,2016,Sports,0,0.29
6087,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,0,0.28
6164,Monster Hunter Stories,3DS,2016,Action,0,0.28
6210,Attack on Titan (KOEI),PS4,2016,Action,0.04,0.28
6248,Ace Attorney 6,3DS,2016,Adventure,0,0.27
6357,LEGO Marvel's Avengers,PS3,2016,Action,0.1,0.27
6429,Batman: Return to Arkham,PS4,2016,Action,0.07,0.26
6489,WWE 2K17,XOne,2016,Sports,0.12,0.26
6539,Battleborn,PS4,2016,Shooter,0.12,0.26
6640,PlayStation VR Worlds,PS4,2016,Misc,0.06,0.25
6755,Sid Meier's Civilization VI,PC,2016,Strategy,0.09,0.25
6856,NHL 17,XOne,2016,Sports,0.2,0.24
6872,Destiny: The Collection,PS4,2016,Shooter,0.05,0.24
6893,Rocket League,XOne,2016,Sports,0.05,0.24
6918,LEGO Marvel's Avengers,WiiU,2016,Action,0.12,0.24
6953,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,0,0.23
6997,XCOM 2,PC,2016,Strategy,0.09,0.23
7080,Tales of Berseria,PS4,2016,Role-Playing,0,0.23
7123,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,0,0.22
7235,Dishonored 2,XOne,2016,Action,0.12,0.22
7330,Doom (2016),PC,2016,Shooter,0.07,0.21
7373,Dragon Ball: Fusions,3DS,2016,Role-Playing,0.02,0.21
7403,World of Final Fantasy,PSV,2016,Role-Playing,0.04,0.21
7459,Mega Man Legacy Collection,3DS,2016,Platform,0.14,0.21
7507,Assassin's Creed The Ezio Collection,PS4,2016,Action,0.04,0.2
7536,Valkyria Chronicles,PS4,2016,Role-Playing,0.07,0.2
7560,Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,0,0.2
7580,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,0,0.2
7585,Dragon Ball: Xenoverse 2,XOne,2016,Action,0.11,0.2
7587,Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,0.07,0.2
7729,MLB 16: The Show,PS3,2016,Action,0.16,0.19
7749,Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,0.05,0.19
7771,Kan Colle Kai,PSV,2016,Action,0,0.19
7773,LEGO Marvel's Avengers,3DS,2016,Action,0.07,0.19
7780,Mafia III,PC,2016,Action,0.08,0.19
7968,Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,0.06,0.19
8011,Just Dance 2017,Wii,2016,Misc,0.06,0.18
8024,Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,0,0.18
8075,Skylanders Imaginators,WiiU,2016,Platform,0.09,0.18
8267,Madden NFL 17,X360,2016,Sports,0.14,0.17
8284,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,0,0.17
8341,Deus Ex: Mankind Divided,XOne,2016,Role-Playing,0.09,0.17
8465,Far Cry: Primal,PC,2016,Action,0.04,0.16
8493,Mirror's Edge Catalyst,XOne,2016,Platform,0.09,0.16
8568,Lego Star Wars: The Force Awakens,PS3,2016,Action,0.04,0.16
8613,Yakuza Kiwami,PS4,2016,Adventure,0,0.16
8628,BioShock The Collection,XOne,2016,Shooter,0.08,0.16
8885,Battleborn,XOne,2016,Shooter,0.1,0.15
8888,The King of Fighters XIV,PS4,2016,Fighting,0.07,0.15
8890,Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,0,0.15
8901,LEGO Harry Potter Collection,PS4,2016,Action,0.01,0.15
8945,Lego Star Wars: The Force Awakens,WiiU,2016,Action,0.06,0.15
8981,ReCore,XOne,2016,Action,0.08,0.15
9101,Skylanders Imaginators,PS4,2016,Platform,0.04,0.14
9119,XCOM 2,PS4,2016,Strategy,0.04,0.14
9134,WWE 2K17,PS3,2016,Sports,0.05,0.14
9180,Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,0.02,0.14
9181,Homefront: The Revolution,XOne,2016,Shooter,0.06,0.14
9199,7 Days to Die,PS4,2016,Action,0.04,0.14
9226,Dead Island Definitive Collection,PS4,2016,Action,0.03,0.14
9294,Call of Duty: Infinite Warfare,PC,2016,Shooter,0.04,0.14
9352,Attack on Titan (KOEI),PSV,2016,Action,0,0.13
9362,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,0,0.13
9376,Life is Strange,XOne,2016,Adventure,0.09,0.13
9435,Total War: WARHAMMER,PC,2016,Strategy,0,0.13
9467,Pro Evolution Soccer 2017,PS3,2016,Sports,0.01,0.13
9631,NBA 2K17,PS3,2016,Sports,0.06,0.13
9660,LEGO Marvel's Avengers,PSV,2016,Action,0.02,0.12
9670,DiRT Rally,XOne,2016,Racing,0.04,0.12
9687,F1 2016 (Codemasters),XOne,2016,Racing,0.03,0.12
9700,Etrian Odyssey V,3DS,2016,Role-Playing,0,0.12
9721,Lego Star Wars: The Force Awakens,3DS,2016,Action,0.04,0.12
9724,Gundam Breaker 3,PSV,2016,Action,0,0.12
9795,Robinson: The Journey,PS4,2016,Action,0.06,0.12
9800,Rise of the Tomb Raider,PC,2016,Adventure,0,0.12
9804,Hatsune Miku: Project Diva X,PSV,2016,Misc,0.01,0.12
9807,Destiny: The Collection,XOne,2016,Shooter,0.05,0.12
9808,Lego Star Wars: The Force Awakens,X360,2016,Action,0.05,0.12
9815,Farming Simulator 17,XOne,2016,Simulation,0.04,0.12
9816,Dishonored 2,PC,2016,Action,0.04,0.12
9835,Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,0,0.12
9858,Yakuza Kiwami,PS3,2016,Adventure,0,0.12
9863,NBA 2K17,X360,2016,Sports,0.09,0.12
9889,Tales of Berseria,PS3,2016,Role-Playing,0,0.12
9956,Jikkyou Powerful Pro Baseball 2016,PS3,2016,Sports,0,0.12
9957,FIFA 17,PC,2016,Sports,0,0.12
9972,Madden NFL 17,PS3,2016,Sports,0.07,0.12
10028,Disney Art Academy,3DS,2016,Action,0.02,0.11
10031,Persona 5,PS3,2016,Role-Playing,0,0.11
10115,Toukiden 2,PSV,2016,Action,0,0.11
10157,Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,0,0.11
10256,Batman: Return to Arkham,XOne,2016,Action,0.05,0.11
10291,RIGS: Mechanized Combat League,PS4,2016,Action,0.03,0.11
10373,WWE 2K17,X360,2016,Sports,0.05,0.11
10405,Skylanders Imaginators,PS3,2016,Platform,0.02,0.11
10407,Fate/Extella: The Umbral Star,PS4,2016,Action,0,0.11
10437,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Action,0,0.1
10529,The Sims 4: City Living,PC,2016,Simulation,0.02,0.1
10727,EVE: Valkyrie,PS4,2016,Shooter,0.03,0.1
10774,The Idolmaster: Platinum Stars,PS4,2016,Simulation,0,0.1
10782,Digimon World: Next Order,PSV,2016,Action,0,0.1
10795,Gundam Breaker 3,PS4,2016,Action,0,0.1
10821,Lego Star Wars: The Force Awakens,PSV,2016,Action,0.01,0.1
10823,Skylanders Imaginators,XOne,2016,Platform,0.05,0.1
10827,One Piece: Burning Blood,PSV,2016,Fighting,0,0.1
10849,Just Dance 2017,WiiU,2016,Misc,0.03,0.09
10870,Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,0,0.09
10884,Ys VIII: Lacrimosa of Dana,PSV,2016,Role-Playing,0,0.09
10927,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,0.05,0.09
10965,Football Manager 2017,PC,2016,Simulation,0,0.09
10972,MXGP 2,PS4,2016,Racing,0.02,0.09
11017,Sonic Boom: Fire & Ice,3DS,2016,Platform,0.05,0.09
11077,DriveClub VR,PS4,2016,Racing,0.03,0.09
11083,Skylanders Imaginators,X360,2016,Platform,0.04,0.09
11122,Fate/Extella: The Umbral Star,PSV,2016,Action,0,0.09
11170,Terraria,3DS,2016,Action,0,0.09
11215,Batman: A Telltale Game Series,PS4,2016,Adventure,0.03,0.09
11245,Assassin's Creed Chronicles,PS4,2016,Action,0.01,0.09
11257,SD Gundam G Generation Genesis,PSV,2016,Strategy,0,0.09
11296,Toukiden 2,PS4,2016,Action,0,0.08
11299,SD Gundam G Generation Genesis,PS4,2016,Strategy,0,0.08
11303,BlazBlue Central Fiction,PS4,2016,Fighting,0.04,0.08
11399,Battleborn,PC,2016,Shooter,0.04,0.08
11416,Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,0.03,0.08
11421,Mega Man Legacy Collection,PS4,2016,Platform,0.07,0.08
11452,Titanfall 2,PC,2016,Shooter,0.03,0.08
11514,Pro Cycling Manager 2016,PS4,2016,Sports,0,0.08
11580,UEFA Euro 2016,PS3,2016,Sports,0,0.08
11585,Resident Evil 6,PS4,2016,Shooter,0.06,0.08
11611,Song of the Deep,PS4,2016,Action,0.06,0.08
11628,Resident Evil Zero,XOne,2016,Action,0.05,0.08
11631,Assassin's Creed The Ezio Collection,XOne,2016,Action,0.03,0.08
11679,Valentino Rossi: The Game,PS4,2016,Racing,0.01,0.08
11712,Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,0,0.08
11727,Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,0.05,0.08
11893,Dark Souls III,PC,2016,Role-Playing,0,0.07
12076,Guilty Gear Xrd -Revelator-,PS3,2016,Fighting,0.02,0.07
12119,Eagle Flight,PS4,2016,Adventure,0.01,0.07
12158,Assassin's Creed Chronicles,PSV,2016,Action,0.01,0.07
12354,Utawarerumono: Futari no Hakuoro,PSV,2016,Misc,0,0.06
12370,Mirror's Edge Catalyst,PC,2016,Platform,0.01,0.06
12384,Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,0,0.06
12389,Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,0.02,0.06
12393,Assetto Corsa,PS4,2016,Racing,0,0.06
12401,One Piece: Burning Blood,XOne,2016,Fighting,0.03,0.06
12402,TrackMania Turbo,XOne,2016,Action,0.02,0.06
12407,Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,0.03,0.06
12422,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,0,0.06
12493,The Technomancer,PS4,2016,Role-Playing,0.02,0.06
12495,Attack on Titan (KOEI),PS3,2016,Action,0,0.06
12518,Attack on Titan (KOEI),XOne,2016,Action,0.02,0.06
12524,Summon Night 6: Lost Borders,PSV,2016,Action,0,0.06
12536,Project Setsuna,PS4,2016,Role-Playing,0,0.06
12539,Song of the Deep,XOne,2016,Action,0.05,0.06
12605,Culdcept Revolt,3DS,2016,Strategy,0,0.06
12624,Corpse Party: Back to School Edition,3DS,2016,Adventure,0.05,0.06
12637,MXGP 2,XOne,2016,Racing,0.03,0.06
12672,BlazBlue Central Fiction,PS3,2016,Fighting,0.02,0.06
12716,Kamen Rider: Battride War Genesis,PS4,2016,Action,0,0.06
12721,Street Fighter V,PC,2016,Fighting,0,0.06
12763,ZombiU,PS4,2016,Action,0,0.06
12815,Caligula,PSV,2016,Role-Playing,0,0.06
12836,Rocket League,PC,2016,Sports,0.01,0.06
12838,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,0.01,0.06
12865,7 Days to Die,XOne,2016,Action,0.03,0.05
12893,Hearts of Iron IV,PC,2016,Strategy,0,0.05
12905,Ghostbusters (2016),PS4,2016,Action,0.04,0.05
12924,Uta no Prince-Sama: Music 3,PSV,2016,Action,0,0.05
12927,Batman: A Telltale Game Series,PS3,2016,Adventure,0.01,0.05
12944,Project Setsuna,PSV,2016,Role-Playing,0,0.05
12967,Mighty No. 9,PS4,2016,Platform,0.04,0.05
12971,Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,0,0.05
13002,Dead Island Definitive Collection,XOne,2016,Action,0.02,0.05
13039,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,0.01,0.05
13042,Killing Floor 2 ,PS4,2016,Shooter,0.03,0.05
13112,Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,0,0.05
13117,R.B.I. Baseball 2016,XOne,2016,Sports,0.05,0.05
13185,Kamen Rider: Battride War Genesis,PSV,2016,Action,0,0.05
13216,Metroid Prime: Federation Force,3DS,2016,Action,0.02,0.05
13226,Ghostbusters (2016),XOne,2016,Action,0.04,0.05
13229,Hatsune Miku: Project Diva X,PS4,2016,Misc,0.02,0.05
13234,Resident Evil 4 HD,PS4,2016,Shooter,0.04,0.05
13261,Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,0,0.05
13268,NASCAR Heat Evolution,PS4,2016,Racing,0.04,0.05
13386,Pro Evolution Soccer 2017,XOne,2016,Sports,0.01,0.05
13415,XCOM 2,XOne,2016,Strategy,0.02,0.05
13427,12-Sai. Koisuru Diary,3DS,2016,Adventure,0,0.05
13438,Just Dance 2017,PS3,2016,Misc,0.01,0.05
13439,Ride 2,PS4,2016,Racing,0,0.05
13466,Root Letter,PSV,2016,Adventure,0,0.05
13479,Resident Evil 6,XOne,2016,Shooter,0.04,0.05
13486,Hitman (2016),PS4,2016,Action,0,0.05
13503,S??bastien Loeb Rally Evo,PS4,2016,Racing,0,0.04
13537,Life is Strange,PC,2016,Adventure,0.01,0.04
13545,Kamen Rider: Battride War Genesis,PS3,2016,Action,0,0.04
13551,Battlezone,PS4,2016,Action,0.02,0.04
13554,Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,0,0.04
13563,Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,0.03,0.04
13570,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Action,0,0.04
13619,Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,0.01,0.04
13644,Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,0,0.04
13717,Bullet Girls 2,PSV,2016,Action,0,0.04
13723,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,0,0.04
13731,Rugby Challenge 3,PS4,2016,Sports,0,0.04
13746,Stellaris,PC,2016,Strategy,0,0.04
13753,Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,0.02,0.04
13778,Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,0.03,0.04
13796, Haikyu!! Cross Team Match!,3DS,2016,Adventure,0,0.04
13875,Dead Rising,PS4,2016,Action,0.02,0.04
13878,Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016,Misc,0,0.04
13913,Berserk and the Band of the Hawk,PS4,2016,Action,0,0.04
13917,Metal Gear Solid V: The Definitive Experience,PS4,2016,Action,0.01,0.04
13984,NASCAR Heat Evolution,XOne,2016,Racing,0.03,0.04
14048,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016,Misc,0,0.04
14081,Transport Fever,PC,2016,Simulation,0,0.04
14083,Homefront: The Revolution,PC,2016,Shooter,0.01,0.04
14092,Just Dance 2017,XOne,2016,Misc,0.03,0.04
14093,Just Dance 2017,X360,2016,Misc,0.02,0.04
14101,Pro Evolution Soccer 2017,X360,2016,Sports,0.01,0.04
14105,Warhammer: The End Times - Vermintide,PS4,2016,Action,0.01,0.04
14115,Macross ? Scramble,PSV,2016,Action,0,0.04
14130,My Hero Academia: Battle for All,3DS,2016,Action,0,0.04
14150,Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016,Action,0,0.03
14153,Dead or Alive Xtreme 3: Venus,PSV,2016,Sports,0,0.03
14155,Pro Cycling Manager 2016,PC,2016,Sports,0,0.03
14158,PriPara Mezameyo! Megami no Dress Design,3DS,2016,Action,0,0.03
14160,Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,0,0.03
14188,Need for Speed (2015),PC,2016,Racing,0,0.03
14195,Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,0,0.03
14210,Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,0.03,0.03
14225,Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,0,0.03
14297,Just Dance 2017,PS4,2016,Misc,0.02,0.03
14340,F1 2016 (Codemasters),PC,2016,Racing,0,0.03
14342,Deus Ex: Mankind Divided,PC,2016,Role-Playing,0,0.03
14348,3DS Classic Collection,3DS,2016,Misc,0.03,0.03
14359,Batman: A Telltale Game Series,X360,2016,Adventure,0.01,0.03
14371,Summon Night 6: Lost Borders,PS4,2016,Action,0,0.03
14378,Song of the Deep,PC,2016,Action,0.03,0.03
14388,Tokyo Xanadu eX+,PS4,2016,Role-Playing,0,0.03
14403,DiRT Rally,PC,2016,Racing,0,0.03
14407,Prison Architect,PS4,2016,Action,0.01,0.03
14417,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,0,0.03
14508,Ao no Kanata no Four Rhythm,PSV,2016,Adventure,0,0.03
14512,Worms: WMD,PS4,2016,Action,0.01,0.03
14574,Terraria,WiiU,2016,Action,0,0.03
14597,Valentino Rossi: The Game,XOne,2016,Racing,0.01,0.03
14607,Darius Burst: Chronicle Saviours,PSV,2016,Action,0,0.03
14609,Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016,Role-Playing,0,0.03
14664,Batman: A Telltale Game Series,XOne,2016,Adventure,0.02,0.03
14692,Samurai Warriors: Sanada Maru,PS4,2016,Action,0,0.03
14695,Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,0,0.03
14698,Mighty No. 9,WiiU,2016,Platform,0.02,0.03
14703,Kenka Bancho Otome,PSV,2016,Action,0,0.03
14710,Superdimension Neptune vs Sega Hard Girls,PSV,2016,Role-Playing,0,0.03
14758,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016,Adventure,0,0.03
14762,Bus Simulator 16,PC,2016,Simulation,0,0.03
14764,Diabolik Lovers: Lunatic Parade,PSV,2016,Adventure,0,0.03
14776,Loading Human,PS4,2016,Adventure,0.01,0.03
14780,Kangokutou Mary Skelter,PSV,2016,Role-Playing,0,0.03
14801,Yuusha Shisu.,PSV,2016,Role-Playing,0,0.03
14804,Sengoku Basara: Sanada Yukimura-Den,PS3,2016,Action,0,0.03
14839,Dead Rising 2,PS4,2016,Action,0.01,0.03
14854,Rugby Challenge 3,PS3,2016,Sports,0,0.03
14873,The Technomancer,XOne,2016,Role-Playing,0.01,0.03
14874,Resident Evil 5 HD,PS4,2016,Action,0.02,0.03
14875,Aegis of Earth: Protonovus Assault,PSV,2016,Action,0.01,0.03
14876,Teddy Together,3DS,2016,Simulation,0,0.03
14893,One Piece: Daikaizoku Coliseum,3DS,2016,Fighting,0,0.03
14905,Aegis of Earth: Protonovus Assault,PS4,2016,Action,0.02,0.03
14909,Sengoku Otome: Legend Battle,PSV,2016,Action,0,0.03
14913,Harvest Moon: Skytree Village,3DS,2016,Simulation,0.02,0.03
14943,Agatha Christie's The ABC Murders,PS4,2016,Adventure,0.01,0.03
14947,Atari Flashback Classics: Volume 1,PS4,2016,Misc,0.02,0.03
14950,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,0,0.03
14985,Duke Nukem 3D: 20th Anniversary World Tour,XOne,2016,Shooter,0.02,0.03
14986, Beyblade Burst,3DS,2016,Role-Playing,0,0.03
14995,The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016,Role-Playing,0,0.02
15024,Assault Suit Leynos,PS4,2016,Shooter,0.02,0.02
15043,Reco Love: Blue Ocean,PSV,2016,Adventure,0,0.02
15059,Atari Flashback Classics: Volume 2,PS4,2016,Misc,0.02,0.02
15104,La Corda d'Oro 4,PSV,2016,Action,0,0.02
15118,Here They Lie,PS4,2016,Adventure,0,0.02
15132,Aegis of Earth: Protonovus Assault,PS3,2016,Action,0.01,0.02
15145,Rugby Challenge 3,X360,2016,Sports,0,0.02
15146,Toukiden 2,PS3,2016,Action,0,0.02
15151,Resident Evil: Umbrella Corps,PS4,2016,Action,0,0.02
15167,Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,Adventure,0,0.02
15178,Anima - Gate of Memories,PS4,2016,Action,0,0.02
15187,Utawarerumono: Futari no Hakuoro,PS3,2016,Misc,0,0.02
15201,Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,0,0.02
15213,Atelier Firis: The Alchemist of the Mysterious Journey,PSV,2016,Role-Playing,0,0.02
15230,Dino Dini's Kick Off Revival,PS4,2016,Sports,0,0.02
15249,Black Rose Valkyrie,PS4,2016,Role-Playing,0,0.02
15276,Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,0.01,0.02
15298,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,Adventure,0,0.02
15309,Rose to Tasogare no Kojou,PSV,2016,Action,0,0.02
15362,Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,0.02,0.02
15367,Atari Flashback Classics: Volume 1,XOne,2016,Misc,0.02,0.02
15374,Resident Evil Zero,PC,2016,Action,0.01,0.02
15386,Paragon,PS4,2016,Action,0.02,0.02
